geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Barcelona_hdbscan_5_5
POINT (2.1585725 41.4025115),"Farmàcia Mauri Martínez, Emília",,pharmacy,,pharmacy,,,Carrer de Ramón y Cajal,24,8012.0,,,,2.1585725,41.4025115,240292,4608928,"farmàcia mauri martínez, emília",935
POINT (2.157597 41.4031147),"Farmàcia Valentines Nart, T - Gelabert Valentines",,pharmacy,,pharmacy,,,Carrer de Verdi,7,8012.0,,,,2.157597,41.4031147,240184,4608995,"farmàcia valentines nart, t - gelabert valentines",926
POINT (2.1553363 41.4039465),Farmàcia del diamant,,pharmacy,,,,,Carrer d'Astúries,54,8012.0,,,,2.1553363,41.4039465,239932,4609087,farmàcia del diamant,909
POINT (2.1568811 41.4040146),Cines Verdi Barcelona,,cinema,,,,,Carrer de Verdi,32,8012.0,,,,2.1568811,41.4040146,240104,4609095,cines verdi barcelona,926
POINT (2.1576461 41.4043891),Verdi Park Barcelona,,cinema,,,,,Carrer de Torrijos,49,8012.0,,,,2.1576461,41.4043891,240189,4609137,verdi park barcelona,-1
POINT (2.1730515 41.3763769),CAP Drassanes,,clinic,,clinic,,,,,,,,,2.1730515,41.3763769,241904,4606018,cap drassanes,-1
POINT (2.1741843 41.3804543),McDonald's,,fast_food,,,,,,,,McDonald's,McDonald's,burger,2.1741843,41.3804543,242030,4606472,mcdonald's,-1
POINT (2.1743286 41.3803081),KFC,,fast_food,,,,,,,,KFC,,chicken,2.1743286,41.3803081,242046,4606456,kfc,-1
POINT (2.1691899 41.3751674),,,post_box,,,,,,,,Correos,Correos,,2.1691899,41.3751674,241474,4605884,,610
POINT (2.1670539 41.3759505),Hotel Millenni,,,hotel,,,,,,,,,,2.1670539,41.3759505,241236,4605971,hotel millenni,-1
POINT (2.1682509 41.3751971),Hotel Barcelona Universal,,,hotel,,,,,,,,,,2.1682509,41.3751971,241370,4605887,hotel barcelona universal,610
POINT (2.1695118 41.3810089),Biblioteca de Catalunya,,library,,,,,,,,,,,2.1695118,41.3810089,241510,4606534,biblioteca de catalunya,-1
POINT (2.1715874 41.3764247),"Farmàcia Bombardo Vial, Miquel",,pharmacy,,pharmacy,,,carrer Nou de Les Rambles,75,8001.0,,,,2.1715874,41.3764247,241741,4606024,"farmàcia bombardo vial, miquel",-1
POINT (2.1732928 41.3782412),"Farmàcia Nieto Calm, Maria Dolors",,pharmacy,,pharmacy,,,carrer Nou de Les Rambles,28,8001.0,,,,2.1732928,41.3782412,241931,4606226,"farmàcia nieto calm, maria dolors",527
POINT (2.1725153 41.3822988),"Farmàcia Clapés Antoja, Josep",,pharmacy,,pharmacy,,,La Rambla,98,8002.0,,,,2.1725153,41.3822988,241844,4606678,"farmàcia clapés antoja, josep",814
POINT (2.1671991 41.3753821),"Farmàcia Vives Sánchez, Adela",,pharmacy,,pharmacy,,,Ronda de Sant Pau,3,8015.0,,,,2.1671991,41.3753821,241253,4605908,"farmàcia vives sánchez, adela",-1
POINT (2.1658516 41.3747708),Burger King,,fast_food,,,,,,,,Burger King,,burger,2.1658516,41.3747708,241103,4605839,burger king,605
POINT (2.167281 41.3751836),BBVA,,bank,,,,,,,,BBVA,,,2.167281,41.3751836,241262,4605885,bbva,-1
POINT (2.1670947 41.3745992),Banco Santander,,bank,,,,,,,,Banco Santander,,,2.1670947,41.3745992,241241,4605820,banco santander,600
POINT (2.1674957 41.3774283),"Farmàcia Genis de Arana, Ignasi",,pharmacy,,pharmacy,,,carrer Carretes,35,8001.0,,,,2.1674957,41.3774283,241286,4606135,"farmàcia genis de arana, ignasi",-1
POINT (2.1673377 41.3759466),Teatre Tantarantana,,theatre,,,,,Carrer de les Flors,22,,,,,2.1673377,41.3759466,241268,4605970,teatre tantarantana,-1
POINT (2.1661966 41.3747759),Hotel Paral·lel,,,hotel,,,,Carrer del Poeta Cabanyes,5-7,8004.0,,NN Hotels,,2.1661966,41.3747759,241141,4605840,hotel paral·lel,-1
POINT (2.1761732 41.3782716),Central Rambla,,restaurant,,,,,La Rambla,26,8002.0,,,,2.1761732,41.3782716,242252,4606229,central rambla,-1
POINT (2.1770799 41.3786145),CAP Gòtic,,clinic,,clinic,,,,,,,,,2.1770799,41.3786145,242353,4606267,cap gòtic,-1
POINT (2.1748362 41.3857962),Cala del Vermouth,,bar,,,,,,,,,,,2.1748362,41.3857962,242103,4607067,cala del vermouth,689
POINT (2.1583028 41.3836428),Amaltea,,restaurant,,,,,,,,,,,2.1583028,41.3836428,240262,4606827,amaltea,-1
POINT (2.1643195 41.3915276),Servei Estació,doityourself,,,,,,Carrer d'Aragó,272,8007.0,,,,2.1643195,41.3915276,240932,4607705,servei estació,-1
POINT (2.1621769 41.3895184),Hanibishi,,restaurant,,,,,,,,,,japanese,2.1621769,41.3895184,240694,4607481,hanibishi,729
POINT (2.1613666 41.3901109),Sin Pelo,,doctors,,,,,,,,,,,2.1613666,41.3901109,240603,4607547,sin pelo,-1
POINT (2.1596088 41.3915078),Caixabank,,bank,,,,,,,,Caixabank,La Caixa,,2.1596088,41.3915078,240408,4607703,caixabank,667
POINT (2.1567229 41.3938035),Gran Hotel Catalonia,,,hotel,,,,,,,,,,2.1567229,41.3938035,240086,4607958,gran hotel catalonia,-1
POINT (2.1520612 41.3948927),IKEA,convenience,,,,,,,,,,,,2.1520612,41.3948927,239567,4608079,ikea,871
POINT (2.1519775 41.3942379),Caixabank,,bank,,,,,,,,Caixabank,Caixabank,,2.1519775,41.3942379,239558,4608007,caixabank,-1
POINT (2.1507661 41.3945755),Banco Santander,,bank,,,,,Avinguda Diagonal,550,,Banco Santander,Santander,,2.1507661,41.3945755,239423,4608044,banco santander,-1
POINT (2.1505605 41.3939958),WorkCenter,copyshop,,,,,,Avinguda Diagonal,437,,,,,2.1505605,41.3939958,239400,4607980,workcenter,649
POINT (2.1497797 41.3937636),"Farmàcia Cases Perera, Mariona",,pharmacy,,pharmacy,,,Carrer de Muntaner,223,8036.0,,,,2.1497797,41.3937636,239313,4607954,"farmàcia cases perera, mariona",649
POINT (2.1445936 41.3933021),"Farmàcia Giró de la Iglesia, Olga",,pharmacy,,pharmacy,,,Plaça de Francesc Macià,3,8021.0,,,,2.1445936,41.3933021,238736,4607902,"farmàcia giró de la iglesia, olga",609
POINT (2.140754 41.3921295),Unicaja Banco,,bank,,,,,,,,Unicaja Banco,,,2.140754,41.3921295,238309,4607772,unicaja banco,-1
POINT (2.1403364 41.3920229),BBVA,,bank,,,,,,,,BBVA,BBVA,,2.1403364,41.3920229,238262,4607760,bbva,-1
POINT (2.1379764 41.3919314),"Farmàcia Gaya Montserrat, Mercedes",,pharmacy,,,,,Carrer de Ganduxer,5,8021.0,,,,2.1379764,41.3919314,238000,4607750,"farmàcia gaya montserrat, mercedes",-1
POINT (2.1362894 41.3909656),WorkCenter,computer,,,,,,,,,,,,2.1362894,41.3909656,237812,4607642,workcenter,-1
POINT (2.1318367 41.3899967),Moncho's House,,restaurant,,,,,,,,,,regional,2.1318367,41.3899967,237316,4607534,moncho's house,174
POINT (2.1806392 41.3836716),Taller de Tapas,,restaurant,,,,,Carrer de l'Argenteria,51,8003.0,,,spanish,2.1806392,41.3836716,242749,4606830,taller de tapas,-1
POINT (2.1256514 41.3910021),Open Cor,supermarket,,,,,,Carrer del Capità Arenas,25,8034.0,,,,2.1256514,41.3910021,236628,4607646,open cor,131
POINT (2.1253205 41.3912953),Farmàcia Carlota Torres,,pharmacy,,pharmacy,,,Passeig de Manuel Girona,56,8034.0,,Carlota Torres Pomar,,2.1253205,41.3912953,236591,4607679,farmàcia carlota torres,131
POINT (2.1226099 41.3906341),Farmàcia E. Pinto Font - I. Grases Pinto,,pharmacy,,pharmacy,,,Passeig de Manuel Girona,28,8034.0,,,,2.1226099,41.3906341,236289,4607605,farmàcia e. pinto font - i. grases pinto,131
POINT (2.109899 41.3942273),El Jardí de l'Abadessa,,restaurant,,,,,,,,,,,2.109899,41.3942273,234874,4608005,el jardí de l'abadessa,-1
POINT (2.1743825 41.4385507),Valldaura,,taxi,,,,,,,,,,,2.1743825,41.4385507,242052,4612939,valldaura,65
POINT (2.1539506 41.3802157),Villa Emilia,,,hotel,,,,,,,,,,2.1539506,41.3802157,239778,4606446,villa emilia,-1
POINT (2.1546475 41.4123701),Supermarket,convenience,,,,,,Rambla de Mercedes,24,,,,,2.1546475,41.4123701,239855,4610025,supermarket,99
POINT (2.1496013 41.4032692),WM Hospitals,,clinic,,,,,,,,,,,2.1496013,41.4032692,239294,4609012,wm hospitals,462
POINT (2.1311016 41.4312641),Mirador de la Rabassada,,,viewpoint,,,,,,,,,,2.1311016,41.4312641,237234,4612128,mirador de la rabassada,-1
POINT (2.1213886 41.3990717),Seu del Districte de Sarrià - Sant Gervasi,,,,,government,,,,,,,,2.1213886,41.3990717,236153,4608545,seu del districte de sarrià - sant gervasi,128
POINT (2.1230797 41.3975532),Bar Tomás,,restaurant,,,,,,,,,,,2.1230797,41.3975532,236341,4608376,bar tomás,128
POINT (2.1532115 41.4113735),Kasa de la Muntanya,,community_centre,,,,,,,,,Kasa de la Muntanya,,2.1532115,41.4113735,239696,4609914,kasa de la muntanya,-1
POINT (2.1408569 41.4197988),Farmacia J. Crespo Molina,,pharmacy,,,,,Avinguda de Vallcarca,252,8023.0,,,,2.1408569,41.4197988,238320,4610852,farmacia j. crespo molina,101
POINT (2.142485 41.4154874),Farmàcia Parc Virgili,,pharmacy,,,,,Avinguda de Vallcarca,188,8023.0,,,,2.142485,41.4154874,238501,4610372,farmàcia parc virgili,109
POINT (2.170768 41.3803452),Mendizabal,,cafe,,,,,,,,,,sandwich,2.170768,41.3803452,241650,4606460,mendizabal,745
POINT (2.1727708 41.3816458),,florist,,,,,,,,,,,,2.1727708,41.3816458,241873,4606605,,814
POINT (2.1729644 41.3816007),,florist,,,,,,,,,,,,2.1729644,41.3816007,241894,4606600,,814
POINT (2.1730678 41.3814949),2-Plantas,florist,,,,,,,,,,,,2.1730678,41.3814949,241906,4606588,2-plantas,814
POINT (2.1726712 41.3817677),5-M.Escudé,florist,,,,,,,,,,,,2.1726712,41.3817677,241862,4606618,5-m.escudé,814
POINT (2.1724526 41.3821692),La flor de la Rambla,florist,,,,,,,,,,,,2.1724526,41.3821692,241837,4606663,la flor de la rambla,814
POINT (2.172391 41.3822479),La flor de la Rambla,florist,,,,,,,,,,,,2.172391,41.3822479,241831,4606672,la flor de la rambla,814
POINT (2.1710813 41.3805321),Teatre Romea,,theatre,,,,,,,,,,,2.1710813,41.3805321,241685,4606481,teatre romea,745
POINT (2.1836133 41.4330796),CAP Sant Andreu,,clinic,,,,,Avinguda Meridiana,428,8030.0,,,,2.1836133,41.4330796,243080,4612330,cap sant andreu,138
POINT (2.1908886 41.4223879),CAP La Sagrera,,clinic,,clinic,,,,,,,,,2.1908886,41.4223879,243890,4611140,cap la sagrera,-1
POINT (2.1854353 41.4221944),Mercat Felip II,convenience,,,,,,,,,,,,2.1854353,41.4221944,243283,4611119,mercat felip ii,156
POINT (2.1826373 41.4211517),,,post_office,,,,,,,,,,,2.1826373,41.4211517,242971,4611003,,-1
POINT (2.1747937 41.4468135),Condis,supermarket,,,,,,,,,Condis,Condis,,2.1747937,41.4468135,242098,4613859,condis,64
POINT (2.1751995 41.4469028),"Farmàcia Iza Marco, Ana",,pharmacy,,pharmacy,,,carrer Les Torres,58,8042.0,,,,2.1751995,41.4469028,242143,4613869,"farmàcia iza marco, ana",64
POINT (2.1395126 41.4120106),Farmàcia Craywinckel,,pharmacy,,pharmacy,,,Carrer de Craywinckel,7,8022.0,,,,2.1395126,41.4120106,238171,4609985,farmàcia craywinckel,183
POINT (2.1735474 41.383672),,,atm,,,,,,,,,,,2.1735474,41.383672,241959,4606830,,838
POINT (2.1780626 41.4416041),Consum,supermarket,,,,,,Carrer de Sant Francesc Xavier,8,8016.0,Consum,Consum,,2.1780626,41.4416041,242462,4613279,consum,69
POINT (2.1834151 41.3817618),Can Paixano,,restaurant,,,,,Carrer de la Reina Cristina,7,,,,burger,2.1834151,41.3817618,243058,4606618,can paixano,335
POINT (2.1804956 41.4375701),Mercadona,supermarket,,,,,,,,,Mercadona,,,2.1804956,41.4375701,242733,4612830,mercadona,-1
POINT (2.181653 41.4354066),ibis Barcelona Meridiana,,,hotel,,,,Passeig Andreu Nin,9,8016.0,,,,2.181653,41.4354066,242862,4612589,ibis barcelona meridiana,55
POINT (2.1805915 41.4354074),CINESA Porta,,cinema,,,,,,,,,,,2.1805915,41.4354074,242743,4612590,cinesa porta,55
POINT (2.1363579 41.393745),Cinesa Diagonal,,cinema,,,,,,,8017.0,,,,2.1363579,41.393745,237819,4607952,cinesa diagonal,83
POINT (2.1743213 41.4304493),Chiribito,,bar,,,,,Passeig de Fabra i Puig,266,8031.0,,,,2.1743213,41.4304493,242045,4612038,chiribito,148
POINT (2.1737066 41.4319753),La Flor,,bar,,,,,,,,,,,2.1737066,41.4319753,241977,4612207,la flor,-1
POINT (2.1725195 41.4305166),The New Orleans Coffee & Tea Company,,cafe,,,,,,,,,,,2.1725195,41.4305166,241845,4612045,the new orleans coffee & tea company,148
POINT (2.1757408 41.4281914),Cotxeres,,pub,,,,,,,,,,,2.1757408,41.4281914,242203,4611786,cotxeres,-1
POINT (2.1890864 41.3962323),Bar Almogávares,,cafe,,,,,Carrer dels Almogàvers,,,,,regional,2.1890864,41.3962323,243689,4608229,bar almogávares,129
POINT (2.1784533 41.3942532),"Farmàcia Masagué Ramonell, Anna",,pharmacy,,pharmacy,,,carrer Roger De Flor,87,8013.0,,,,2.1784533,41.3942532,242505,4608008,"farmàcia masagué ramonell, anna",-1
POINT (2.1824884 41.395536),Centre Civic Ateneu Fort Pienc,,community_centre,,,,,,,,,,,2.1824884,41.395536,242955,4608151,centre civic ateneu fort pienc,279
POINT (2.1881434 41.3934539),Palacio de China,,restaurant,,,,,,,,,,chinese,2.1881434,41.3934539,243584,4607919,palacio de china,146
POINT (2.1884994 41.3932336),Bar Nuria,,pub,,,,,,,,,,,2.1884994,41.3932336,243624,4607895,bar nuria,146
POINT (2.189737 41.3923144),"Farmàcia Salvador Solé, Palmira",,pharmacy,,pharmacy,,,carrer de la Marina,69,8005.0,,,,2.189737,41.3923144,243762,4607792,"farmàcia salvador solé, palmira",146
POINT (2.1877737 41.3936284),Caixabank,,bank,,,,,,,,Caixabank,La Caixa,,2.1877737,41.3936284,243543,4607939,caixabank,146
POINT (2.1826363 41.3973856),Patinpatl,sports,,,,,,,,,,,,2.1826363,41.3973856,242971,4608357,patinpatl,-1
POINT (2.18314 41.3982628),Forn de Pa Laia,bakery,,,,,,Carrer de Ribes,36,,,,,2.18314,41.3982628,243027,4608455,forn de pa laia,275
POINT (2.1314448 41.376111),Mercadona,supermarket,,,,,,Carrer de Tirso de Molina,20,8028.0,Mercadona,,,2.1314448,41.376111,237272,4605989,mercadona,-1
POINT (2.1319929 41.3769893),Carniseria Moliner,butcher,,,,,,,,,,,,2.1319929,41.3769893,237333,4606086,carniseria moliner,-1
POINT (2.1322252 41.3765777),Rovira,bakery,,,,,,,,,,,,2.1322252,41.3765777,237359,4606041,rovira,356
POINT (2.1346488 41.3755248),Sant Bartomeu,,cafe,,,,,,,,,,,2.1346488,41.3755248,237629,4605923,sant bartomeu,355
POINT (2.1311301 41.3755969),Consum,supermarket,,,,,,,,,Consum,Consum,,2.1311301,41.3755969,237237,4605931,consum,-1
POINT (2.1661693 41.3728426),Hostal Barcelona,,,hotel,,,,Carrer del Roser,40,,,,,2.1661693,41.3728426,241138,4605625,hostal barcelona,565
POINT (2.1668348 41.373761),Dia,supermarket,,,,,,Carrer del Roser,18,8004.0,Dia,"Distribuidora Internacional de Alimentación, S.A.",,2.1668348,41.373761,241212,4605727,dia,-1
POINT (2.1353987 41.3771402),,,bank,,,,,,,,,,,2.1353987,41.3771402,237713,4606103,,376
POINT (2.1340291 41.3774031),Venècia,,cafe,,,,,,,,,,,2.1340291,41.3774031,237560,4606133,venècia,349
POINT (2.1352817 41.3761509),Condis,supermarket,,,,,,,,,Condis,Condis,,2.1352817,41.3761509,237700,4605993,condis,-1
POINT (2.1884381 41.3974784),,,taxi,,,,,,,,,,,2.1884381,41.3974784,243617,4608367,,129
POINT (2.1308538 41.3753906),Casablanca,,cafe,,,,,,,,,,,2.1308538,41.3753906,237207,4605908,casablanca,-1
POINT (2.1301533 41.4083057),Enginyeria i Arquitectura la Salle,,university,,,,,,,,,,,2.1301533,41.4083057,237129,4609573,enginyeria i arquitectura la salle,49
POINT (2.1305931 41.4086908),FESS la Salle (gimnàs de la Universitat),,,,,,sports_centre,,,,,,,2.1305931,41.4086908,237178,4609615,fess la salle (gimnàs de la universitat),49
POINT (2.130224 41.4093346),Enginyeria i Arquitectura La Salle,,university,,,,,,,,,,,2.130224,41.4093346,237137,4609687,enginyeria i arquitectura la salle,49
POINT (2.1289709 41.4081823),Arquitectura la Salle,,university,,,,,,,,,,,2.1289709,41.4081823,236997,4609559,arquitectura la salle,49
POINT (2.1344972 41.375545),HotDoks,,cafe,,,,,,,,,,,2.1344972,41.375545,237612,4605926,hotdoks,355
POINT (2.1344148 41.375553),BBVA,,bank,,,,,,,,BBVA,,,2.1344148,41.375553,237603,4605927,bbva,355
POINT (2.1799028 41.4254729),plats i olles,convenience,,,,,,,,,,,,2.1799028,41.4254729,242667,4611484,plats i olles,-1
POINT (2.1683146 41.3747586),Institut Obert de Catalunya,,,,,government,,Avinguda del Paral·lel,71-73,8004.0,,,,2.1683146,41.3747586,241377,4605838,institut obert de catalunya,600
POINT (2.1825834 41.3829842),Caixabank,,bank,,,,,,,,Caixabank,La Caixa,,2.1825834,41.3829842,242965,4606754,caixabank,-1
POINT (2.1623411 41.4021663),Cal Boter,,restaurant,,,,,Carrer de Tordera,62,,,,regional,2.1623411,41.4021663,240712,4608889,cal boter,-1
POINT (2.175241 41.3796661),Hostal Kabul,,,hostel,,,,Plaça Reial,17,,,,,2.175241,41.3796661,242148,4606384,hostal kabul,828
POINT (2.1764911 41.4458015),,bakery,,,,,,,,,,,,2.1764911,41.4458015,242287,4613747,,64
POINT (2.1761852 41.4462656),,hairdresser,,,,,,,,,,,,2.1761852,41.4462656,242253,4613798,,64
POINT (2.1365656 41.3767803),Fenicia,,restaurant,,,,,,,,,,lebanese,2.1365656,41.3767803,237842,4606063,fenicia,377
POINT (2.1350831 41.3759838),Orhan,,bar,,,,,,,,,,,2.1350831,41.3759838,237677,4605975,orhan,-1
POINT (2.1338807 41.3770535),Sar,,bar,,,,,,,,,,,2.1338807,41.3770535,237544,4606094,sar,349
POINT (2.1339113 41.3771257),IQRA Kebab,,cafe,,,,,Carrer de Joan Güell,,,,,,2.1339113,41.3771257,237547,4606102,iqra kebab,349
POINT (2.1352388 41.3770183),El Racó de la Xemenea,,cafe,,,,,Carrer del Miracle,50-52,,,,,2.1352388,41.3770183,237695,4606090,el racó de la xemenea,376
POINT (2.1374276 41.3775028),Tapa Tape,,bar,,,,,,,,,,,2.1374276,41.3775028,237938,4606144,tapa tape,377
POINT (2.1373163 41.3774104),Lugar de Tapas,,bar,,,,,,,,,,,2.1373163,41.3774104,237926,4606133,lugar de tapas,377
POINT (2.1355553 41.3759677),Bankinter,,bank,,,,,,,,Bankinter,,,2.1355553,41.3759677,237730,4605973,bankinter,-1
POINT (2.1764365 41.4469515),Caixabank,,bank,,,,,,,,Caixabank,Caixabank,,2.1764365,41.4469515,242281,4613875,caixabank,-1
POINT (2.1371527 41.3772743),Pub Gris,,pub,,,,,,,,,,,2.1371527,41.3772743,237908,4606118,pub gris,377
POINT (2.1369905 41.3771427),Hoja Verde,,restaurant,,,,,,,,,,chinese,2.1369905,41.3771427,237890,4606104,hoja verde,377
POINT (2.1369201 41.3770927),Disco Bar Joe's,,bar,,,,,,,,,,,2.1369201,41.3770927,237882,4606098,disco bar joe's,377
POINT (2.1368715 41.3770424),La Maria del Rocxi,,restaurant,,,,,,,,,,catalan,2.1368715,41.3770424,237877,4606092,la maria del rocxi,377
POINT (2.1368104 41.3769979),Simbad - Feteria,,restaurant,,,,,Passeig de Sant Antoni,15,,,,palestinian,2.1368104,41.3769979,237870,4606087,simbad - feteria,377
POINT (2.1366906 41.3768914),CaFeniciana,,restaurant,,,,,,,,,,lebanese,2.1366906,41.3768914,237856,4606076,cafeniciana,377
POINT (2.1367319 41.3769402),El jardi de Sants,,restaurant,,,,,,,,,,catalan,2.1367319,41.3769402,237861,4606081,el jardi de sants,377
POINT (2.1372296 41.3773381),Via Fora!,,cafe,,,,,,,,,,,2.1372296,41.3773381,237916,4606125,via fora!,377
POINT (2.1370878 41.3772237),Calero's,,restaurant,,,,,,,,,,italian,2.1370878,41.3772237,237901,4606113,calero's,377
POINT (2.1358001 41.3760228),Ciutat Comtal,,restaurant,,,,,,,,,,italian,2.1358001,41.3760228,237757,4605979,ciutat comtal,386
POINT (2.1484352 41.3898597),,,post_box,,,,,,,,,,,2.1484352,41.3898597,239164,4607519,,-1
POINT (2.1488058 41.3901775),Dia,supermarket,,,,,,,,,Dia,"Distribuidora Internacional de Alimentación, S.A.",,2.1488058,41.3901775,239205,4607555,dia,524
POINT (2.1621698 41.402044),Fonda Pepa,,restaurant,,,,,Carrer de Tordera,58,,,,catalan,2.1621698,41.402044,240693,4608876,fonda pepa,-1
POINT (2.1619419 41.4018928),La Cigale,,bar,,,,,,,,,,,2.1619419,41.4018928,240667,4608859,la cigale,-1
POINT (2.162054 41.4019328),Sabes una Cosa,,restaurant,,,,,Carrer de Tordera,54,8012.0,,,mexican,2.162054,41.4019328,240680,4608863,sabes una cosa,-1
POINT (2.1616543 41.4019257),La Fourmi,,bar,,,,,Carrer de Milà i Fontanals,,8012.0,,,,2.1616543,41.4019257,240635,4608862,la fourmi,-1
POINT (2.1616018 41.4036132),Travessera-Bailén,,taxi,,,,,,,,,,,2.1616018,41.4036132,240630,4609050,travessera-bailén,931
POINT (2.164267 41.384087),Teatre Goya,,theatre,,,,,,,,,,,2.164267,41.384087,240926,4606877,teatre goya,-1
POINT (2.1362017 41.4041568),Wunder Training,,,,,,sports_centre,Carrer de Muntaner,529,8022.0,,,,2.1362017,41.4041568,237802,4609111,wunder training,208
POINT (2.188017 41.4303043),la Cinètika,,community_centre,,,,,Rambla de Fabra i Puig,32,8030.0,,,,2.188017,41.4303043,243570,4612021,la cinètika,-1
POINT (2.1786434 41.4057761),"Farmàcia Puig de Dou, M. Queralt",,pharmacy,,pharmacy,,,Carrer de Mallorca,468,8013.0,,,,2.1786434,41.4057761,242527,4609291,"farmàcia puig de dou, m. queralt",513
POINT (2.1476885 41.3895915),"Farmàcia Nardi Ricart, Anna",,pharmacy,,pharmacy,,,Carrer de París,111,8029.0,,,,2.1476885,41.3895915,239081,4607489,"farmàcia nardi ricart, anna",639
POINT (2.1704778 41.3781559),El cafè de les delícies,,cafe,,,,,,,,,,,2.1704778,41.3781559,241618,4606216,el cafè de les delícies,471
POINT (2.1698955 41.3756862),,,car_sharing,,,,,,,,,Avancar,,2.1698955,41.3756862,241553,4605941,,-1
POINT (2.1694612 41.3812356),Biblioteca Sant Pau i Santa Creu,,library,,,,,Carrer del Carme,47,,,Diputació de Barcelona,,2.1694612,41.3812356,241504,4606559,biblioteca sant pau i santa creu,-1
POINT (2.1704622 41.3789612),Caprabo,supermarket,,,,,,,,,Caprabo,,,2.1704622,41.3789612,241616,4606306,caprabo,-1
POINT (2.1671353 41.3720275),Bar Seco,,cafe,,,,,,,,,,,2.1671353,41.3720275,241246,4605534,bar seco,-1
POINT (2.1745971 41.4051547),Super&Regals,convenience,,,,,,Avenida Gaudí,8,8025.0,,,,2.1745971,41.4051547,242076,4609222,super&regals,552
POINT (2.1742446 41.406511),La Piazzenza,,restaurant,,,,,Avinguda Gaudí,"27,29",8025.0,,,italian,2.1742446,41.406511,242037,4609373,la piazzenza,-1
POINT (2.1745267 41.408243),Tapes Gaudí,,restaurant,,,,,Avinguda de Gaudí,44,,,,,2.1745267,41.408243,242068,4609566,tapes gaudí,-1
POINT (2.1745607 41.4086056),Aladdin,,restaurant,,,,,,,,,,,2.1745607,41.4086056,242072,4609606,aladdin,533
POINT (2.1745558 41.4107436),Pans & Company,,fast_food,,,,,,,,Pans & Company,,sandwich,2.1745558,41.4107436,242072,4609844,pans & company,549
POINT (2.1746628 41.4047602),KFC,,fast_food,,,,,Avinguda de Gaudí,2,8025.0,KFC,,chicken,2.1746628,41.4047602,242083,4609178,kfc,-1
POINT (2.1742781 41.4050316),Babilonia,,restaurant,,,,,Avenida Gaudí,3,8025.0,,,,2.1742781,41.4050316,242041,4609208,babilonia,541
POINT (2.1974089 41.4127914),Lidl,supermarket,,,,,,Carrer de Bac de Roda,178,8020.0,Lidl,Lidl,,2.1974089,41.4127914,244616,4610072,lidl,155
POINT (2.1967739 41.4124433),Bonpreu,supermarket,,,,,,Carrer d'Andrade,58,8018.0,Bonpreu,Bonpreu,,2.1967739,41.4124433,244545,4610033,bonpreu,155
POINT (2.1961625 41.4119681),Supercor,supermarket,,,,,,Carrer d'Andrade,46,,Supercor,,,2.1961625,41.4119681,244477,4609980,supercor,-1
POINT (2.2020633 41.4138911),Condis,supermarket,,,,,,,,,Condis,Condis,,2.2020633,41.4138911,245134,4610194,condis,122
POINT (2.1990606 41.4114535),"Farmàcia García Coma, Xavier",,pharmacy,,pharmacy,,,carrer Bac de Roda,168,8020.0,,,,2.1990606,41.4114535,244799,4609923,"farmàcia garcía coma, xavier",84
POINT (2.1522045 41.3742363),Restaurant Buffet,,restaurant,,,,,,,,,,,2.1522045,41.3742363,239583,4605780,restaurant buffet,-1
POINT (2.1366408 41.4099584),,,taxi,,,,,,,,,,,2.1366408,41.4099584,237851,4609757,,-1
POINT (2.1757171 41.3814704),Italo,,fast_food,,,,,,,,,,pizza,2.1757171,41.3814704,242201,4606585,italo,858
POINT (2.1836862 41.3865807),Incognito Bar,,pub,,,,,Carrer de la Fusina,6,,,,,2.1836862,41.3865807,243088,4607154,incognito bar,484
POINT (2.174026 41.386132),Cerveceria Taller de tapas,,restaurant,,,,,,,,,,,2.174026,41.386132,242013,4607104,cerveceria taller de tapas,-1
POINT (2.1765833 41.3823086),Antic Tapas Ferran,,restaurant,,,,,Carrer de Ferran,59,8002.0,,,tapas,2.1765833,41.3823086,242297,4606679,antic tapas ferran,858
POINT (2.1815472 41.3824742),Vila Viniteca,,restaurant,,,,,Carrer dels Agullers,9,,,,,2.1815472,41.3824742,242850,4606697,vila viniteca,-1
POINT (2.178292 41.3830486),Zim,,bar,,,,,Carrer de la Dagueria,20,8002.0,,,,2.178292,41.3830486,242487,4606761,zim,787
POINT (2.1719165 41.4451469),"Farmàcia Prats Gorrochategui, Matilde",,pharmacy,,pharmacy,,,carrer Alcantara,1,8042.0,,,,2.1719165,41.4451469,241778,4613674,"farmàcia prats gorrochategui, matilde",-1
POINT (2.1725927 41.4457676),Condis,supermarket,,,,,,Carrer d'Alcántara,14-16,8042.0,Condis,Condis,,2.1725927,41.4457676,241853,4613743,condis,64
POINT (2.1727083 41.4459517),,bakery,,,,,,,,,,,,2.1727083,41.4459517,241866,4613763,,64
POINT (2.174339 41.4461074),Unnim,,bank,,,,,,,,,caixa sabadell,,2.174339,41.4461074,242047,4613781,unnim,64
POINT (2.1747253 41.3791435),Centro Galego,,restaurant,,,,,Rambla Caputxins,35,,,,regional,2.1747253,41.3791435,242090,4606326,centro galego,818
POINT (2.1961029 41.4048069),Caixabank negocis,,bank,,,,,,,,Caixabank,La Caixa,,2.1961029,41.4048069,244470,4609183,caixabank negocis,365
